hour,load_0,load_8,load_10,load_15,load_18,load_19,load_20,load_21,load_22,load_23,load_24,load_25,load_26,load_27,load_28,load_29,load_30,load_31,load_32,load_33,load_34
0,11.875248000000001,11.875248000000001,3.83724,3.972672,0.2189484,0.178398,0.3418668,0.36011250000000006,0.21606750000000002,0.4340556,0.060588,0.3983873142857142,0.06639788571428572,0.38949428571428574,0.06491571428571428,0.37643760000000004,0.05385600000000001,0.26120160000000003,0.026928000000000004,0.1651716,0.262548
1,11.54538,11.54538,3.73065,3.86232,0.2128665,0.1734425,0.3323705,0.350109375,0.210065625,0.42199849999999994,0.058905,0.38732099999999997,0.0645535,0.378675,0.0631125,0.365981,0.052360000000000004,0.25394600000000006,0.026180000000000002,0.1605835,0.255255
2,11.215512000000002,11.215512000000002,3.6240600000000005,3.7519680000000006,0.2067846,0.16848700000000003,0.32287420000000006,0.34010625000000005,0.20406375000000004,0.4099414,0.05722200000000001,0.3762546857142857,0.06270911428571428,0.36785571428571434,0.06130928571428572,0.3555244000000001,0.05086400000000001,0.24669040000000006,0.025432000000000007,0.1559954,0.24796200000000004
3,10.885644000000001,10.885644000000001,3.5174700000000003,3.6416160000000004,0.2007027,0.16353150000000002,0.31337790000000004,0.33010312500000005,0.19806187500000003,0.39788429999999997,0.055539000000000005,0.3651883714285714,0.06086472857142857,0.3570364285714286,0.059506071428571436,0.34506780000000004,0.04936800000000001,0.23943480000000006,0.024684000000000005,0.1514073,0.24066900000000005
4,10.555776000000002,10.555776000000002,3.41088,3.531264,0.1946208,0.15857600000000002,0.30388160000000003,0.32010000000000005,0.19206000000000004,0.3858272,0.053856,0.3541220571428571,0.05902034285714286,0.3462171428571429,0.057702857142857146,0.33461120000000005,0.047872000000000005,0.23217920000000006,0.023936000000000002,0.1468192,0.23337600000000003
5,10.225908,10.225908,3.30429,3.4209120000000004,0.1885389,0.15362050000000002,0.2943853,0.31009687500000005,0.18605812500000002,0.3737701,0.052173000000000004,0.34305574285714285,0.05717595714285714,0.33539785714285714,0.05589964285714286,0.3241546,0.04637600000000001,0.22492360000000003,0.023188000000000004,0.1422311,0.22608300000000003
6,9.566172,9.566172,3.09111,3.200208,0.17637509999999998,0.14370950000000002,0.2753927,0.29009062500000005,0.174054375,0.34965589999999996,0.048807,0.32092311428571424,0.05348718571428571,0.3137592857142857,0.05229321428571428,0.3032414,0.043384000000000006,0.21041240000000003,0.021692000000000003,0.1330549,0.21149700000000002
7,8.906436000000001,8.906436000000001,2.87793,2.9795040000000004,0.1642113,0.13379850000000001,0.2564001,0.27008437500000004,0.16205062500000003,0.3255417,0.045441,0.29879048571428574,0.049798414285714285,0.29212071428571434,0.04868678571428572,0.28232820000000003,0.04039200000000001,0.19590120000000005,0.020196000000000006,0.12387870000000001,0.19691100000000003
8,8.2467,8.2467,2.66475,2.7588000000000004,0.1520475,0.12388750000000001,0.2374075,0.25007812500000004,0.15004687500000002,0.30142749999999996,0.042075,0.2766578571428571,0.046109642857142856,0.2704821428571429,0.045080357142857144,0.261415,0.0374,0.18139000000000002,0.0187,0.1147025,0.18232500000000001
9,8.576568,8.576568,2.7713400000000004,2.869152,0.1581294,0.128843,0.2469038,0.26008125000000004,0.15604875,0.3134846,0.043758000000000005,0.28772417142857143,0.047954028571428574,0.2813014285714286,0.046883571428571434,0.27187160000000005,0.03889600000000001,0.18864560000000005,0.019448000000000003,0.11929060000000001,0.18961800000000004
10,9.071370000000002,9.071370000000002,2.9312250000000004,3.0346800000000003,0.16725225000000002,0.13627625000000002,0.26114825,0.27508593750000004,0.16505156250000003,0.33157025,0.046282500000000004,0.30432364285714286,0.050720607142857144,0.2975303571428572,0.049588392857142866,0.28755650000000005,0.04114000000000001,0.19952900000000004,0.020570000000000005,0.12617275,0.20055750000000003
11,9.566172,9.566172,3.09111,3.200208,0.17637509999999998,0.14370950000000002,0.2753927,0.29009062500000005,0.174054375,0.34965589999999996,0.048807,0.32092311428571424,0.05348718571428571,0.3137592857142857,0.05229321428571428,0.3032414,0.043384000000000006,0.21041240000000003,0.021692000000000003,0.1330549,0.21149700000000002
12,9.896040000000001,9.896040000000001,3.1976999999999998,3.31056,0.18245699999999998,0.14866500000000002,0.284889,0.30009375000000005,0.18005625000000003,0.36171299999999995,0.05049,0.33198942857142855,0.055331571428571424,0.32457857142857144,0.05409642857142857,0.31369800000000003,0.04488,0.21766800000000003,0.02244,0.137643,0.21879
13,10.225908,10.225908,3.30429,3.4209120000000004,0.1885389,0.15362050000000002,0.2943853,0.31009687500000005,0.18605812500000002,0.3737701,0.052173000000000004,0.34305574285714285,0.05717595714285714,0.33539785714285714,0.05589964285714286,0.3241546,0.04637600000000001,0.22492360000000003,0.023188000000000004,0.1422311,0.22608300000000003
14,10.72071,10.72071,3.464175,3.5864400000000005,0.19766175,0.16105375000000002,0.30862975000000004,0.32510156250000005,0.19506093750000003,0.39185575,0.0546975,0.3596552142857143,0.05994253571428571,0.35162678571428574,0.05860446428571429,0.3398395,0.04862000000000001,0.23580700000000004,0.024310000000000005,0.14911325,0.23702250000000002
15,11.54538,11.54538,3.73065,3.86232,0.2128665,0.1734425,0.3323705,0.350109375,0.210065625,0.42199849999999994,0.058905,0.38732099999999997,0.0645535,0.378675,0.0631125,0.365981,0.052360000000000004,0.25394600000000006,0.026180000000000002,0.1605835,0.255255
16,12.534984000000001,12.534984000000001,4.05042,4.193376000000001,0.2311122,0.18830900000000003,0.3608594,0.38011875000000006,0.22807125000000003,0.45816979999999996,0.06395400000000001,0.42051994285714284,0.07008665714285714,0.4111328571428572,0.06852214285714286,0.39735080000000006,0.05684800000000001,0.27571280000000004,0.028424000000000005,0.1743478,0.27713400000000005
17,13.524588,13.524588,4.37019,4.524432,0.2493579,0.2031755,0.3893483,0.410128125,0.24607687500000003,0.4943410999999999,0.069003,0.45371888571428565,0.07561981428571428,0.4435907142857143,0.07393178571428571,0.4287206,0.06133600000000001,0.29747960000000007,0.030668000000000004,0.1881121,0.29901300000000003
18,14.514192000000001,14.514192000000001,4.68996,4.855488,0.2676036,0.218042,0.4178372,0.44013750000000007,0.26408250000000005,0.5305124,0.074052,0.4869178285714285,0.08115297142857143,0.47604857142857143,0.07934142857142858,0.46009040000000007,0.06582400000000001,0.31924640000000004,0.032912000000000004,0.2018764,0.32089200000000007
19,14.84406,14.84406,4.79655,4.965840000000001,0.2736855,0.22299750000000002,0.42733350000000003,0.45014062500000007,0.27008437500000004,0.5425695,0.07573500000000001,0.4979841428571428,0.08299735714285714,0.4868678571428572,0.08114464285714286,0.47054700000000005,0.06732000000000002,0.32650200000000007,0.03366000000000001,0.2064645,0.32818500000000006
20,14.349258,14.349258,4.636665,4.800312000000001,0.26456265,0.21556425,0.41308905,0.43513593750000007,0.26108156250000003,0.52448385,0.0732105,0.4813846714285714,0.08023077857142857,0.4706389285714286,0.07843982142857144,0.45486210000000005,0.06507600000000001,0.3156186000000001,0.032538000000000004,0.19958235,0.3172455
21,13.524588,13.524588,4.37019,4.524432,0.2493579,0.2031755,0.3893483,0.410128125,0.24607687500000003,0.4943410999999999,0.069003,0.45371888571428565,0.07561981428571428,0.4435907142857143,0.07393178571428571,0.4287206,0.06133600000000001,0.29747960000000007,0.030668000000000004,0.1881121,0.29901300000000003
22,12.864852,12.864852,4.1570100000000005,4.303728,0.2371941,0.19326450000000003,0.3703557,0.39012187500000006,0.23407312500000005,0.4702269,0.065637,0.43158625714285714,0.07193104285714286,0.4219521428571429,0.07032535714285715,0.40780740000000004,0.058344000000000014,0.28296840000000006,0.029172000000000007,0.1789359,0.28442700000000004
